"Title","Phone Number","Image URL","Direction Link","Address","Latitude","Longitude","Rating","time"
"Fox & Jane Salon","09719068686","https://lh5.googleusercontent.com/p/AF1QipOxU6T54hCVB0-dnP7j-R7WdTBvCPekwKm71TzO=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KR09nP4yAaA5MRjFOLYx4Nsy&daddr=123,Civil+Lines+Opp+Bareilly+Club+Mela+Ground,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjX3_3tjrmEAxXw6oQAHaRKCPgQ48ADegQIABAq","123,Civil Lines Opp Bareilly Club Mela Ground, Bareilly, Uttar Pradesh 243001","28.352559074012","79.411731804801","4.2","09:00 PM"
"Monsoon Unisex Salon","01145491111","https://lh5.googleusercontent.com/p/AF1QipNE41PDFteO3NHqoV2jjuWb15yoKqfEytWDO4aw=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KaEVS7eyB6A5MXfP4uSGaOAk&daddr=P-3/27,+opp.+Ekta+Nursing+Home,+Deen+Dayal+Puram,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjX3_3tjrmEAxXw6oQAHaRKCPgQ48ADegQIABAy","P-3/27, opp. Ekta Nursing Home, Deen Dayal Puram, Bareilly, Uttar Pradesh 243001","28.329642519","79.43163","4.7","9:30 PM"
"LOOKS SALON CIVIL LINES BAREILLY","09411455551","https://lh5.googleusercontent.com/p/AF1QipNJNhJ8S60gY-OmNLNZlWhHcA1JG49oFVjIryFk=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KX1KJ1neAaA5MT6e2NZSq3ZH&daddr=2nd+Floor+,+183/158/1-6,+Galleria+Rampur+Garden,+Civil+Lines,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjX3_3tjrmEAxXw6oQAHaRKCPgQ48ADegQIABA6","2nd Floor , 183/158/1-6, Galleria Rampur Garden, Civil Lines, Bareilly, Uttar Pradesh 243001","28.348272140695","79.426146888291","4.5","9:30 PM"
"LOOKS SALON, Bareilly","09410258920","https://lh5.googleusercontent.com/p/AF1QipMlMvMLmN76nSfbvKwAD15n7FLA_-fBHsqyV4hy=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KS3_7vZFB6A5MVrGEODXJokd&daddr=A-27,+PRIYADARSHNI+NAGAR,NEAR+HDFC+BANK+AND+RAMJANKI+TEMPLE,+Uttar+Pradesh+243001&ved=2ahUKEwjX3_3tjrmEAxXw6oQAHaRKCPgQ48ADegQIABBF","A-27, PRIYADARSHNI NAGAR,NEAR HDFC BANK AND RAMJANKI TEMPLE, Uttar Pradesh 243001","26.904385006942","80.936790002015","4.2","9:30 PM"
"Rose Hair Salon","08939325069","https://lh5.googleusercontent.com/p/AF1QipOwcCO75S4VjQybt3aaV2A1UZYIRd0di8ldOwzv=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KcPjHyi0BqA5MWSqOKw1EXaV&daddr=near+akash+puran,+gate+1,+Gardan+City,+Bareilly,+Uttar+Pradesh+243006&ved=2ahUKEwjX3_3tjrmEAxXw6oQAHaRKCPgQ48ADegQIABBN","near akash puran, gate 1, Gardan City, Bareilly, Uttar Pradesh 243006","28.359544451822","79.451733167934","4.9","09:00 PM"
"Mac Studio unisex salon","09068669941","https://lh5.googleusercontent.com/p/AF1QipOszFh1ONuf5_Q-qqtPT1R51qKoq2xs-Qi9oIZS=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KRvSsoS_B6A5MSs-cMMTLCGw&daddr=A-124,+opp.+Kailash+Hospital,+Rajendra+Nagar,+Bareilly,+Uttar+Pradesh+243122&ved=2ahUKEwjX3_3tjrmEAxXw6oQAHaRKCPgQ48ADegQIABBX","A-124, opp. Kailash Hospital, Rajendra Nagar, Bareilly, Uttar Pradesh 243122","28.38534","79.42643","4.9","09:00 PM"
"Toni&Guy - Bareilly","07830363000","https://lh5.googleusercontent.com/p/AF1QipOetlyTdS5TFyPAQBDTpDzTK2MJZZtjfdH5zbe9=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQkxdnTWAKA5MUxXu1OdkSrj&daddr=35/1/3,+Civil+Lines,+3rd+Floor,+Gold%27s+Gym+Building,+opp.+Prabha+Theatre%28Fully+Renovated%29,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjX3_3tjrmEAxXw6oQAHaRKCPgQ48ADegQIABBi","35/1/3, Civil Lines, 3rd Floor, Gold's Gym Building, opp. Prabha Theatre(Fully Renovated), Bareilly, Uttar Pradesh 243001","28.352080019355","79.410229976946","4.3","9:30 PM"
"Cloud Eleven Unisex Salon","09411004147","https://lh5.googleusercontent.com/p/AF1QipMULlHHsoS0L-VLqoXhwAr4uRq0Z3huKSXp4mKN=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KQl9DuThB6A5MaLCxMxO0EZZ&daddr=C-56+Luthra+Tower,+Ekta+Nagar,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjX3_3tjrmEAxXw6oQAHaRKCPgQ48ADegQIABBs","C-56 Luthra Tower, Ekta Nagar, Bareilly, Uttar Pradesh 243001","28.360779424052","79.418835809706","4.7","11:00 PM"
"P STUDIO11 UNISEX SALON","07249933116","https://lh5.googleusercontent.com/p/AF1QipPa0_yU1n-PdxQdqieJojNNdIBo9BpFRja6ORHu=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KVNP3AfhBqA5MVyxO73gGOId&daddr=%23614,+Deepak+Tower,+Near+DD+Puram+Chauraha,+opp.+%E0%A4%AC%E0%A5%88%E0%A4%82%E0%A4%95+%E0%A4%91%E0%A4%AB+%E0%A4%AC%E0%A4%A1%E0%A4%BC%E0%A5%8C%E0%A4%A6%E0%A4%BE,+Rajendra+Nagar,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjX3_3tjrmEAxXw6oQAHaRKCPgQ48ADegQIABBz","#614, Deepak Tower, Near DD Puram Chauraha, opp., Rajendra Nagar, Bareilly, Uttar Pradesh 243001","28.383448191064","79.424181791787","4.1","08:00 PM"
"Mrs Salon - Hair | Skin | Makeup | Bridal | Nails - Best Female Only Salon","07351034786","https://lh5.googleusercontent.com/p/AF1QipOrAMtlo0Dd-SiVKd-lI_6n138GbkedSOo1QJ0=w114-h114-n-k-no","https://maps.google.com/maps?um=1&fb=1&gl=in&sa=X&geocode=KfNl21dcB6A5MUOdcyqcJOmJ&daddr=Floor+1,+Adesh+dental+hospital+building,+Shastri+Nagar,+Izatnagar,+Bareilly,+Uttar+Pradesh+243001&ved=2ahUKEwjX3_3tjrmEAxXw6oQAHaRKCPgQ48ADegQIABB7","Floor 1, Adesh dental hospital building, Shastri Nagar, Izatnagar, Bareilly, Uttar Pradesh 243001","28.329642519","79.43163","4.9","9:30 PM"
